Y2O3 in water	Y2O3	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	3.03E-20

ZnO in vaccum	ZnO	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	9.21E-20
ZnO in water	ZnO	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	1.89E-20

Zinc blende in vaccum	ZnS	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	15.2E-20
Zinc blende in water	ZnS	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	4.80E-20

Wurtzite in vaccum	ZnS	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	17.2E-20
Wurtzite in water	ZnS	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	5.74E-20

3Y-ZrO2 in vaccum	ZrO2	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	20.3E-20
3Y-ZrO2 in water	ZrO2	Bergstrom, Adv. Coll. Interf. Sci. 70 (1997)	7.23E-20

Illite in vacuum	Illite	Novich and Ring, Clays and Clay Minerals 32 (1984)	1.4E-19
Illite in water	Illite	Novich and Ring, Clays and Clay Minerals 32 (1984)	2.5E-20

Kaolinite in vacuum	Kaolinite	Novich and Ring, Clays and Clay Minerals 32 (1984)	1.5E-19
Kaolinite in water	Kaolinite	Novich and Ring, Clays and Clay Minerals 32 (1984)	3.1E-20

Montmorillonite in vacuum	Montmorillonite	Novich and Ring, Clays and Clay Minerals 32 (1984)	1.3E-19
Montmorillonite in water	Montmorillonite	Novich and Ring, Clays and Clay Minerals 32 (1984)	2.2E-20

Paligorskyte in vacuum	Paligorskyte	Novich and Ring, Clays and Clay Minerals 32 (1984)	3.8E-19
Paligorskyte in water	Paligorskyte	Novich and Ring, Clays and Clay Minerals 32 (1984)	16.3E-20
